word1,word2,cosine_similarity,human_score
admission,ticket,0.25386887788772583,5.536
alcohol,chemistry,0.21573451161384583,4.125
aluminum,metal,0.43160077929496765,6.625
announcement,effort,-0.023968802765011787,2.0625
announcement,news,0.3332594037055969,7.1875
announcement,production,-0.059627778828144073,1.6875
announcement,warning,0.12662461400032043,4.625
architecture,century,0.14465846121311188,1.929
arrival,hotel,0.18548312783241272,2.1875
atmosphere,landscape,0.26120245456695557,3.5625
attempt,peace,0.22123761475086212,0.9375
baby,mother,0.4061061143875122,5.25
bank,money,0.012576689943671227,6.625
baseball,season,0.3134917616844177,3.2565
bed,closet,0.26861947774887085,2.25
bird,cock,0.23479874432086945,5.875
bird,crane,0.20626789331436157,4.8125
bishop,rabbi,0.21515128016471863,5.375
board,recommendation,0.3378218412399292,1.25
book,library,0.08385227620601654,5.3125
book,paper,0.08938714116811752,5.875
boy,lad,0.2783706784248352,7.844
bread,butter,0.7151641845703125,4.1875
brother,monk,0.3348654806613922,4.25
calculation,computation,0.14854319393634796,8.0565
canyon,landscape,0.25705188512802124,5.25
car,automobile,0.33983883261680603,9.369
car,flight,0.0952690839767456,2.4375
cell,phone,-0.16361263394355774,6.25
century,nation,0.22714915871620178,2.1875
century,year,0.16706901788711548,4.0
championship,tournament,0.33251285552978516,7.5
change,attitude,0.18190926313400269,3.375
chord,smile,0.08695946633815765,0.8125
closet,clothes,0.2458914816379547,4.625
coast,forest,0.33541128039360046,2.125
coast,hill,0.36905890703201294,2.3125
coast,shore,0.45131850242614746,8.2755
company,stock,0.31177765130996704,3.75
competition,price,0.3561271131038666,3.0
computer,laboratory,0.09645432233810425,3.375
computer,news,-0.02543357014656067,1.6875
consumer,confidence,0.05452655255794525,1.6875
consumer,energy,0.18804194033145905,2.75
country,citizen,0.16099241375923157,4.3125
credit,card,0.12711328268051147,4.5625
credit,information,0.3532634377479553,3.644
cup,article,-0.09103385359048843,1.3125
cup,coffee,0.7611255645751953,5.0625
cup,drink,0.41015493869781494,4.75
cup,entity,-0.013606108725070953,1.375
cup,food,0.17858761548995972,1.875
cup,liquid,0.29271745681762695,3.75
cup,object,-0.01513252779841423,4.25
cup,substance,0.029208242893218994,1.9375
currency,market,0.018508970737457275,4.3125
day,dawn,0.34143444895744324,4.625
day,summer,0.41981202363967896,3.125
death,row,0.03308366984128952,1.6875
delay,news,0.11452864855527878,1.4375
development,issue,0.06298282742500305,3.3125
direction,combination,-0.035417597740888596,2.0625
disability,death,-0.024827226996421814,2.3125
disaster,area,-0.09763750433921814,1.625
discovery,space,-0.0636976808309555,3.9375
dividend,calculation,0.05902045965194702,5.1875
dividend,payment,0.4636137783527374,5.5
doctor,liability,0.04178503528237343,2.5
doctor,nurse,0.19970597326755524,6.125
doctor,personnel,0.10842997580766678,3.5625
dollar,buck,0.1390567123889923,8.5625
dollar,loss,0.3035051226615906,2.1875
dollar,profit,0.3332100808620453,5.375
drink,car,0.3548274338245392,0.3125
drink,ear,0.39106082916259766,0.375
drink,eat,0.31417110562324524,4.125
drink,mother,0.25284555554389954,0.5625
drink,mouth,0.22842742502689362,4.7375
drug,abuse,0.12780150771141052,4.9375
energy,crisis,0.07968243956565857,3.0505
energy,laboratory,-0.047866448760032654,2.7565
energy,secretary,0.02980402484536171,1.0625
equipment,maker,0.3240383267402649,2.5625
experience,music,0.23682855069637299,2.3125
family,planning,0.21074238419532776,1.75
fbi,fingerprint,0.25088489055633545,4.0625
fbi,investigation,0.06451208144426346,5.0625
