word1,word2,cosine_similarity,human_score
admission,ticket,0.1805495023727417,5.536
alcohol,chemistry,0.1758919358253479,4.125
aluminum,metal,0.32201969623565674,6.625
announcement,effort,0.014667898416519165,2.0625
announcement,news,0.2154962718486786,7.1875
announcement,production,0.10649675130844116,1.6875
announcement,warning,0.15894994139671326,4.625
architecture,century,0.16494613885879517,1.929
arrival,hotel,0.18551598489284515,2.1875
atmosphere,landscape,0.242815300822258,3.5625
attempt,peace,0.15404662489891052,0.9375
baby,mother,0.17819657921791077,5.25
bank,money,0.1688568890094757,6.625
baseball,season,0.2989254593849182,3.2565
bed,closet,0.1947566568851471,2.25
bird,cock,0.29458481073379517,5.875
bird,crane,0.27901965379714966,4.8125
bishop,rabbi,0.38367748260498047,5.375
board,recommendation,0.23009152710437775,1.25
book,library,0.15845131874084473,5.3125
book,paper,0.10690248012542725,5.875
boy,lad,0.16927781701087952,7.844
bread,butter,0.5025523900985718,4.1875
brother,monk,0.09574766457080841,4.25
calculation,computation,0.20357316732406616,8.0565
canyon,landscape,0.2560906410217285,5.25
car,automobile,0.14463837444782257,9.369
car,flight,0.06527476012706757,2.4375
cell,phone,0.07960096001625061,6.25
century,nation,0.13129819929599762,2.1875
century,year,0.08754049241542816,4.0
championship,tournament,0.3066556751728058,7.5
change,attitude,0.17532230913639069,3.375
chord,smile,0.14466117322444916,0.8125
closet,clothes,0.25200679898262024,4.625
coast,forest,0.28401270508766174,2.125
coast,hill,0.19993874430656433,2.3125
coast,shore,0.30407845973968506,8.2755
company,stock,0.2039395570755005,3.75
competition,price,0.2638176381587982,3.0
computer,laboratory,0.06799827516078949,3.375
computer,news,0.09362265467643738,1.6875
consumer,confidence,0.05365180969238281,1.6875
consumer,energy,0.1059650257229805,2.75
country,citizen,0.10199776291847229,4.3125
credit,card,0.2196914255619049,4.5625
credit,information,0.1904272437095642,3.644
cup,article,0.11675198376178741,1.3125
cup,coffee,0.450320839881897,5.0625
cup,drink,0.2987687587738037,4.75
cup,entity,0.16203397512435913,1.375
cup,food,0.1194109171628952,1.875
cup,liquid,0.22975248098373413,3.75
cup,object,0.08165095001459122,4.25
cup,substance,0.0904574766755104,1.9375
currency,market,0.12297867983579636,4.3125
day,dawn,0.17232447862625122,4.625
day,summer,0.21176773309707642,3.125
death,row,0.0373879037797451,1.6875
delay,news,0.12145383656024933,1.4375
development,issue,0.02554793655872345,3.3125
direction,combination,0.19481956958770752,2.0625
disability,death,0.076766736805439,2.3125
disaster,area,-0.011725867167115211,1.625
discovery,space,-0.012136120349168777,3.9375
dividend,calculation,0.23707611858844757,5.1875
dividend,payment,0.30493032932281494,5.5
doctor,liability,0.0765567421913147,2.5
doctor,nurse,0.23873665928840637,6.125
doctor,personnel,0.12632353603839874,3.5625
dollar,buck,0.04805741459131241,8.5625
dollar,loss,0.13023322820663452,2.1875
dollar,profit,0.21440616250038147,5.375
drink,car,0.06713318079710007,0.3125
drink,ear,0.24583804607391357,0.375
drink,eat,0.20484115183353424,4.125
drink,mother,0.07946616411209106,0.5625
drink,mouth,0.156508207321167,4.7375
drug,abuse,0.12130279839038849,4.9375
energy,crisis,0.05964946001768112,3.0505
energy,laboratory,0.06336420029401779,2.7565
energy,secretary,-0.014643877744674683,1.0625
equipment,maker,0.3200230896472931,2.5625
experience,music,0.19343070685863495,2.3125
family,planning,0.11259117722511292,1.75
fbi,fingerprint,0.3411848545074463,4.0625
fbi,investigation,0.26071375608444214,5.0625
fertility,egg,0.2511024475097656,5.1875
five,month,0.13685496151447296,1.069
focus,life,-0.06418678164482117,2.3125
food,fruit,0.14369440078735352,7.0625
food,preparation,0.10202133655548096,3.75
football,basketball,0.43516045808792114,4.125
football,tennis,0.35794728994369507,3.6875
forest,graveyard,0.10655789822340012,1.394
furnace,stove,0.2798594832420349,8.0625
game,defeat,0.07089948654174805,3.6875
game,round,0.13250857591629028,5.1875
game,series,0.15104985237121582,4.5625
game,team,0.15537841618061066,4.625
game,victory,0.14053276181221008,4.6875
glass,metal,0.30021536350250244,2.1875
government,crisis,-0.02707694098353386,3.625
governor,interview,0.12533968687057495,1.625
governor,office,0.09153695404529572,4.3125
grocery,money,0.08639736473560333,3.375
harvard,yale,0.4565427601337433,4.875
holy,sex,0.03820299729704857,1.069
hotel,reservation,0.24212855100631714,5.0625
hundred,percent,0.3141210079193115,4.4375
image,surface,0.13294018805027008,1.8125
investigation,effort,0.1769218146800995,3.75
jaguar,car,0.29209524393081665,5.3125
jaguar,cat,0.29891881346702576,6.4375
japanese,american,0.03938015550374985,3.125
jerusalem,israel,0.27809715270996094,6.4375
