word1,word2,cosine_similarity,human_score
admission,ticket,0.11314116418361664,5.536
alcohol,chemistry,0.0650605857372284,4.125
aluminum,metal,0.38272297382354736,6.625
announcement,effort,0.04795229807496071,2.0625
announcement,news,0.1272846907377243,7.1875
announcement,production,0.012678414583206177,1.6875
announcement,warning,0.03926466405391693,4.625
architecture,century,0.06434883177280426,1.929
arrival,hotel,0.003801640123128891,2.1875
atmosphere,landscape,0.18929289281368256,3.5625
attempt,peace,0.16904714703559875,0.9375
baby,mother,0.08110089600086212,5.25
bank,money,0.08304975926876068,6.625
baseball,season,0.294026643037796,3.2565
bed,closet,0.21627213060855865,2.25
bird,cock,-0.06964638084173203,5.875
bird,crane,-0.04564138501882553,4.8125
bishop,rabbi,0.19035154581069946,5.375
board,recommendation,0.13175402581691742,1.25
book,library,0.056518327444791794,5.3125
book,paper,-0.003332383930683136,5.875
boy,lad,-0.027872368693351746,7.844
bread,butter,0.5315229892730713,4.1875
brother,monk,-0.013256551697850227,4.25
calculation,computation,-0.008015107363462448,8.0565
canyon,landscape,0.06491120159626007,5.25
car,automobile,0.19074463844299316,9.369
car,flight,0.03777220845222473,2.4375
cell,phone,0.0042928289622068405,6.25
century,nation,0.030911248177289963,2.1875
century,year,0.0697731301188469,4.0
championship,tournament,0.21803078055381775,7.5
change,attitude,0.2060611993074417,3.375
chord,smile,0.0009284242987632751,0.8125
closet,clothes,0.10513386875391006,4.625
coast,forest,0.10489389300346375,2.125
coast,hill,0.10312065482139587,2.3125
coast,shore,0.20191648602485657,8.2755
company,stock,0.25092801451683044,3.75
competition,price,0.26165175437927246,3.0
computer,laboratory,-0.10925930738449097,3.375
computer,news,0.021733956411480904,1.6875
consumer,confidence,0.011333872564136982,1.6875
consumer,energy,0.07005186378955841,2.75
country,citizen,-0.08550834655761719,4.3125
credit,card,0.05925849825143814,4.5625
credit,information,0.12196360528469086,3.644
cup,article,-0.04322400316596031,1.3125
cup,coffee,0.6098490953445435,5.0625
cup,drink,0.31751352548599243,4.75
cup,entity,-0.0381016805768013,1.375
cup,food,0.0645122155547142,1.875
cup,liquid,0.029977384954690933,3.75
cup,object,-0.05508739873766899,4.25
